Id.x,SpsCode,DBH,StreetName,StreetNumber,City
533,CAVI,2,MUNICIPAL POOL,2,La Mesa
549,CAVI,3,HIGHWOOD TEEN CENTER,2,La Mesa
543,CAVI,3,HIGHWOOD TEEN CENTER,2,La Mesa
545,CAVI,3,HIGHWOOD TEEN CENTER,2,La Mesa
521,CAVI,3,DERK DR,5780,La Mesa
542,CAVI,2,HIGHWOOD TEEN CENTER,2,La Mesa
532,CAVI,2,MUNICIPAL POOL,2,La Mesa
527,CAVI,1,LA MESITA PARK,2,La Mesa
520,CAVI,1,LEMON AV,8007,La Mesa
544,CAVI,3,HIGHWOOD TEEN CENTER,2,La Mesa
550,CAVI,3,HIGHWOOD TEEN CENTER,2,La Mesa
547,CAVI,3,HIGHWOOD TEEN CENTER,2,La Mesa
528,CAVI,1,LA MESITA PARK,2,La Mesa
537,CAVI,1,HIGHWOOD PARK,2,La Mesa
522,CAVI,3,DERK DR,5800,La Mesa
517,CAVI,3,DAILEY RD,8930,La Mesa
523,CAVI,3,KAPPA ST,8435,La Mesa
525,CAVI,1,LA MESITA PARK,2,La Mesa
556,CAVI,2,HIGHWOOD TEEN CENTER,2,La Mesa
555,CAVI,2,HIGHWOOD TEEN CENTER,2,La Mesa
538,CAVI,1,HIGHWOOD PARK,2,La Mesa
519,CAVI,2,DATE AV PARKING LOT,2,La Mesa
552,CAVI,2,HIGHWOOD TEEN CENTER,2,La Mesa
526,CAVI,3,SAMUEL ST,5945,La Mesa
560,CAVI,2,HIGHWOOD TEEN CENTER,2,La Mesa
531,CAVI,2,MUNICIPAL POOL,2,La Mesa
539,CAVI,1,HIGHWOOD PARK,2,La Mesa
551,CAVI,3,HIGHWOOD TEEN CENTER,2,La Mesa
529,CAVI,1,LA MESITA PARK,2,La Mesa
546,CAVI,3,HIGHWOOD TEEN CENTER,2,La Mesa
540,CAVI,4,HIGHWOOD TEEN CENTER,2,La Mesa
564,CAVI,2,FLETCHER PKWY,9000,La Mesa
554,CAVI,2,HIGHWOOD TEEN CENTER,2,La Mesa
524,CAVI,3,DERK DR,5805,La Mesa
553,CAVI,2,HIGHWOOD TEEN CENTER,2,La Mesa
557,CAVI,3,HIGHWOOD TEEN CENTER,2,La Mesa
536,CAVI,1,MUNICIPAL POOL,2,La Mesa
534,CAVI,1,MUNICIPAL POOL,2,La Mesa
548,CAVI,3,HIGHWOOD TEEN CENTER,2,La Mesa
558,CAVI,2,HIGHWOOD TEEN CENTER,2,La Mesa
514,CAVI,1,STANFORD AV,7330,La Mesa
518,CAVI,3,ACACIA AV,4561,La Mesa
510,CAVI,1,LA MESITA PL,7370,La Mesa
561,CAVI,3,HIGHWOOD TEEN CENTER,2,La Mesa
559,CAVI,2,HIGHWOOD TEEN CENTER,2,La Mesa
513,CAVI,1,LA MESITA PL,7370,La Mesa
562,CAVI,2,HIGHWOOD TEEN CENTER,2,La Mesa
530,CAVI,1,LA MESITA PARK,2,La Mesa
511,CAVI,1,LA MESITA PL,7370,La Mesa
516,CAVI,2,STANFORD AV,7322,La Mesa
