Id.x,SpsCode,DBH,StreetName,City
54700,ALRH,2,University Community Park,Irvine
34586,ALRH,1,Hicks Canyon Bike Trail,Irvine
1113,ALRH,1,Riparian Corridor,Irvine
18123,ALRH,1,Heritage Community Park,Irvine
23587,ALRH,1,,Irvine
5379,ALRH,2,Turtle Rock Community Park,Irvine
49288,ALRH,1,Heritage Community Park,Irvine
34549,ALRH,1,Hicks Canyon Bike Trail,Irvine
59262,ALRH,3,Nature center,Irvine
42518,ALRH,1,,Irvine
7516,ALRH,1,Bren Park,Irvine
34536,ALRH,1,Hicks Canyon Bike Trail,Irvine
2937,ALRH,1,Riparian Corridor,Irvine
12240,ALRH,1,Hicks Canyon Bike Trail,Irvine
35436,ALRH,1,Hicks Canyon Bike Trail,Irvine
34667,ALRH,1,Hicks Canyon Bike Trail,Irvine
9694,ALRH,1,(01) Hicks Canyon Wash WR (North),Irvine
42174,ALRH,1,,Irvine
22150,ALRH,1,,Irvine
12279,ALRH,1,Hicks Canyon Bike Trail,Irvine
42297,ALRH,1,,Irvine
57841,ALRH,1,Heritage Community Park,Irvine
48566,ALRH,1,Heritage Community Park,Irvine
42280,ALRH,1,,Irvine
38940,ALRH,1,Hicks Canyon Bike Trail,Irvine
3070,ALRH,2,Riparian Corridor,Irvine
38983,ALRH,1,Hicks Canyon Bike Trail,Irvine
38897,ALRH,1,Hicks Canyon Bike Trail,Irvine
8406,ALRH,1,Hicks Canyon Greenbelt,Irvine
12197,ALRH,1,Hicks Canyon Bike Trail,Irvine
24733,ALRH,1,,Irvine
23397,ALRH,1,,Irvine
22702,ALRH,1,,Irvine
3022,ALRH,1,Riparian Corridor,Irvine
35967,ALRH,2,(02) Hicks Canyon Wash WR (South),Irvine
24732,ALRH,1,,Irvine
54473,ALRH,3,Willows Park,Irvine
1245,ALRH,2,Riparian Corridor,Irvine
19104,ALRH,1,Venta Spur Trail - Btwn Culver And Jeffrey,Irvine
43911,ALRH,2,Woodbridge Community Park,Irvine
47928,ALRH,2,Bren Park,Irvine
1116,ALRH,1,Riparian Corridor,Irvine
18670,ALRH,1,Silkwood Park,Irvine
58109,ALRH,1,Silkwood Park,Irvine
10367,ALRH,1,Hicks Canyon Greenbelt,Irvine
1189,ALRH,1,Riparian Corridor,Irvine
53118,ALRH,1,Valencia Park,Irvine
22674,ALRH,1,,Irvine
35881,ALRH,1,Hicks Canyon Bike Trail,Irvine
5937,ALRH,1,Bren Park,Irvine
34733,ALRH,1,Hicks Canyon Bike Trail,Irvine
12366,ALRH,1,Hicks Canyon Bike Trail,Irvine
2952,ALRH,2,Riparian Corridor,Irvine
8363,ALRH,1,Hicks Canyon Bike Trail,Irvine
10993,ALRH,1,Hicks Canyon Bike Trail,Irvine
